season_end,MVP,player1,player2,player3,player4,player5,player6,player7
1989,Magic Johnson,Magic Johnson,Michael Jordan,Magic Johnson,Magic Johnson,Magic Johnson,Magic Johnson,Magic Johnson
1990,Magic Johnson,Magic Johnson,Michael Jordan,Magic Johnson,Magic Johnson,Michael Jordan,Magic Johnson,Magic Johnson
1991,Michael Jordan,Karl Malone,Magic Johnson,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan
1992,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan
1993,Charles Barkley,Michael Jordan,Michael Jordan,Michael Jordan,Charles Barkley,Michael Jordan,Michael Jordan,Charles Barkley
1994,Hakeem Olajuwon,David Robinson,David Robinson,David Robinson,David Robinson,David Robinson,David Robinson,Hakeem Olajuwon
1995,David Robinson,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,David Robinson,David Robinson,David Robinson,David Robinson
1996,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan
1997,Karl Malone,Karl Malone,Bruce Bowen,Karl Malone,Michael Jordan,Michael Jordan,Michael Jordan,Karl Malone
1998,Michael Jordan,Karl Malone,Shaquille O'Neal,Karl Malone,Karl Malone,Michael Jordan,Michael Jordan,Michael Jordan
1999,Karl Malone,Karl Malone,Shaquille O'Neal,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone
2000,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal
2001,Allen Iverson,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Allen Iverson,Allen Iverson,Allen Iverson
2002,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Chris Webber,Chris Webber,Tim Duncan
2003,Tim Duncan,Kevin Garnett,Tracy McGrady,Kobe Bryant,Tim Duncan,Kobe Bryant,Kobe Bryant,Tim Duncan
2004,Kevin Garnett,Kevin Garnett,Kevin Garnett,Kevin Garnett,Kevin Garnett,Kevin Garnett,Kevin Garnett,Kevin Garnett
2005,Steve Nash,Steve Nash,Allen Iverson,Dwyane Wade,Steve Nash,Dwyane Wade,Steve Nash,Steve Nash
2006,Steve Nash,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,Steve Nash
2007,Dirk Nowitzki,Tracy McGrady,Kobe Bryant,Tracy McGrady,Dirk Nowitzki,Dirk Nowitzki,Dirk Nowitzki,Dirk Nowitzki
2008,Kobe Bryant,Chris Paul,LeBron James,Chris Paul,Kobe Bryant,Kobe Bryant,Chris Paul,Kobe Bryant
2009,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James
2010,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James
2011,Derrick Rose,Derrick Rose,LeBron James,Derrick Rose,Derrick Rose,Derrick Rose,Derrick Rose,Derrick Rose
2012,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,Dwight Howard
2013,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James
2014,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant
2015,Stephen Curry,James Harden,Russell Westbrook,LeBron James,Stephen Curry,Stephen Curry,Stephen Curry,Stephen Curry